,Unnamed: 0,id,object_name,chain,object_type,address,number,street,Url,Url_With_Coordinates
260,4715,29172,пу 33,False,столовая,"город москва, тетеринский переулок, дом 2а",100,тетеринский переулок,"https://www.google.com/maps/search/город москва, тетеринский переулок, дом 2а",https://maps.google.com/maps/api/staticmap?center=55.7453748%2C37.6499658&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=xxZD6OpsdSsDVWEwEWckmKpjqMI
261,4718,21177,школа 1468,False,буфет,"город москва, библиотечная улица, дом 29",33,библиотечная улица,"https://www.google.com/maps/search/город москва, библиотечная улица, дом 29",https://maps.google.com/maps/api/staticmap?center=55.745238%2C37.677109&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=5tCb264KSsBXvglgMHZO7MvFqKs
262,4721,20999,моск. гос. авиац.-технологич. университет,False,буфет,"город москва, берниковская набережная, дом 12, строение 1",32,берниковская набережная,"https://www.google.com/maps/search/город москва, берниковская набережная, дом 12, строение 1",https://maps.google.com/maps/api/staticmap?center=55.749069%2C37.6509501&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=0Hervcy1lbE4ADCJtEpDY2eTLiw
263,4725,28205,центральный дом адвоката,False,столовая,"город москва, малый полуярославский переулок, дом 3/5, строение 1",62,малый полуярославский переулок,"https://www.google.com/maps/search/город москва, малый полуярославский переулок, дом 3/5, строение 1",https://maps.google.com/maps/api/staticmap?center=55.7521728%2C37.660916&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=FHgORfiQKjlJD7yAwGltB01tlE4
264,4729,150839,лицей №1581,False,столовая,"город москва, большой полуярославский переулок, дом 7",55,большой полуярославский переулок,"https://www.google.com/maps/search/город москва, большой полуярославский переулок, дом 7",https://maps.google.com/maps/api/staticmap?center=55.7525222%2C37.6629756&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=QzU3EEx3PgxKncIP5QTt2RecCkk
265,4736,150823,гбоу школа №480 им.в.в. талалихина,False,столовая,"город москва, стройковская улица, дом 5",0,стройковская улица,"https://www.google.com/maps/search/город москва, стройковская улица, дом 5",https://maps.google.com/maps/api/staticmap?center=55.7335907%2C37.6751833&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=JsvZGDTT8DxUY5pyuLLt2eVth1k
266,4802,21338,8-ой троллейбусный парк,False,буфет,"город москва, улица инессы арманд, дом 13",31,улица инессы арманд,"https://www.google.com/maps/search/город москва, улица инессы арманд, дом 13",https://maps.google.com/maps/api/staticmap?center=55.5878528%2C37.5472306&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=Cg40r9zd354uz6OPP-g0vkeZxXs
267,4805,29450,гоу сош № 1174,False,столовая,"город москва, феодосийская улица, дом 11а",157,феодосийская улица,"https://www.google.com/maps/search/город москва, феодосийская улица, дом 11а",https://maps.google.com/maps/api/staticmap?center=55.563507%2C37.5760431&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=j3XaKHnPr6u5-E-BcG4DW3KstNM
268,4817,97083,пекарня,False,кулинария,"город москва, 1-й кирпичный переулок, дом 4, строение 2",10,1-й кирпичный переулок,"https://www.google.com/maps/search/город москва, 1-й кирпичный переулок, дом 4, строение 2",https://maps.google.com/maps/api/staticmap?center=55.778067%2C37.7321551&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=MVKp9e9NCbVuiiMkiHKeEvWABhU
269,4832,21936,кафе гермес,False,кафе,"город москва, учинская улица, дом 10",85,учинская улица,"https://www.google.com/maps/search/город москва, учинская улица, дом 10",https://maps.google.com/maps/api/staticmap?center=55.885289%2C37.537045&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=vj7mTFEXYhqYDT_0PvGq7Fqb1AI
270,4839,28255,марма,False,столовая,"город москва, нарвская улица, дом 2",45,нарвская улица,"https://www.google.com/maps/search/город москва, нарвская улица, дом 2",https://maps.google.com/maps/api/staticmap?center=55.8305145%2C37.500686&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=_kTYl7f2rpEhuTVkuIM-XqEAy9k
271,4860,28699,столовая (гбоу «школа №1558 имени росалии де кастро»),False,столовая,"город москва, чукотский проезд, дом 6",260,чукотский проезд,"https://www.google.com/maps/search/город москва, чукотский проезд, дом 6",https://maps.google.com/maps/api/staticmap?center=55.8682404%2C37.6540984&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=PaZZbj4_EFeE2fkjmlzMsmcsqxk
272,4882,27787,столовая,False,ресторан,"город москва, кремлевская набережная, дом 1, строение 2",56,кремлевская набережная,"https://www.google.com/maps/search/город москва, кремлевская набережная, дом 1, строение 2",https://maps.google.com/maps/api/staticmap?center=55.7469402%2C37.6094764&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=GHOiz8lbV3P7OldYgEA-NOIxBss
273,4891,27812,столовая при мз электропривод,False,столовая,"город москва, улица уткина, дом 48",20,улица уткина,"https://www.google.com/maps/search/город москва, улица уткина, дом 48",https://maps.google.com/maps/api/staticmap?center=55.759536%2C37.7450764&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=qbDX9Hm0db8gSY706CaI_N1obug
274,4894,19965,райский уголок,False,кафе,"город москва, боровский проезд, дом 17а",96,боровский проезд,"https://www.google.com/maps/search/город москва, боровский проезд, дом 17а",https://maps.google.com/maps/api/staticmap?center=55.6522892%2C37.3820669&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=fTwWMoHBW2xHz3U4Nf2sJWpWDAA
275,4895,19746,вэрон,False,столовая,"город москва, улица академика павлова, дом 25",80,улица академика павлова,"https://www.google.com/maps/search/город москва, улица академика павлова, дом 25",https://maps.google.com/maps/api/staticmap?center=55.748804%2C37.407488&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=DcBDDcrKFE2SmTK6cdP9cyYm3es
276,4896,27926,столовая,False,столовая,"город москва, проезд черепановых, дом 6, строение 1",50,проезд черепановых,"https://www.google.com/maps/search/город москва, проезд черепановых, дом 6, строение 1",https://maps.google.com/maps/api/staticmap?center=55.8332951%2C37.5128019&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=rrc9saU2-vYXcg66b8nD0G1MfOA
277,4924,22345,bodrum,False,кафе,"город москва, улица новая дорога, дом 11, строение 6",60,улица новая дорога,"https://www.google.com/maps/search/город москва, улица новая дорога, дом 11, строение 6",https://maps.google.com/maps/api/staticmap?center=55.7747776%2C37.7023903&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=XYtx8SyaMkqGmcOZ4kdmDissJ2g
278,4940,21728,кофе он,False,кафе,"город москва, 3-й кадашевский переулок, дом 2",72,3-й кадашевский переулок,"https://www.google.com/maps/search/город москва, 3-й кадашевский переулок, дом 2",https://maps.google.com/maps/api/staticmap?center=55.7424592%2C37.6247519&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=jq-zxbQYcHS7k9r0SAwFxBJGfNo
279,4947,27989,столовая,False,столовая,"город москва, чермянская улица, дом 2, строение 2",200,чермянская улица,"https://www.google.com/maps/search/город москва, чермянская улица, дом 2, строение 2",https://maps.google.com/maps/api/staticmap?center=55.8852737%2C37.6379713&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=727IoS47y2033gALY2S7Rksx6cg
