,Unnamed: 0,id,object_name,chain,object_type,address,number,street,Url,Url_With_Coordinates
1450,13581,214744,рэдимэйд,False,кафе,"город москва, ленинский проспект, дом 57",16,ленинский проспект,"https://www.google.com/maps/search/город москва, ленинский проспект, дом 57",https://maps.google.com/maps/api/staticmap?center=55.6964698%2C37.5613279&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=GlioiUML3X2_7irhMv-fghZOIG4
1451,13584,221235,предприятие быстрого обслуживания,False,фаст-фуд,"город москва, проспект мира, дом 175",0,проспект мира,"https://www.google.com/maps/search/город москва, проспект мира, дом 175",https://maps.google.com/maps/api/staticmap?center=55.8381761%2C37.6591254&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=1hUHoRFZfYhcyri0Lp2332pQvYI
1452,13620,204879,арабская шаурма,False,фаст-фуд,"город москва, профсоюзная улица, дом 2/22",0,профсоюзная улица,"https://www.google.com/maps/search/город москва, профсоюзная улица, дом 2/22",https://maps.google.com/maps/api/staticmap?center=55.6872072%2C37.572429&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=Q3NF9oT19_XeH5S1T1uvWK1gFzY
1453,13621,209191,да-чикко,False,кафе,"город москва, профсоюзная улица, дом 13/12",48,профсоюзная улица,"https://www.google.com/maps/search/город москва, профсоюзная улица, дом 13/12",https://maps.google.com/maps/api/staticmap?center=55.6511909%2C37.5324007&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=v9HZ1Tg-zQPmWr84fFpQ4uS_nYc
1454,13622,198954,шаурма,False,фаст-фуд,"город москва, профсоюзная улица, дом 15",0,профсоюзная улица,"https://www.google.com/maps/search/город москва, профсоюзная улица, дом 15",https://maps.google.com/maps/api/staticmap?center=55.679504%2C37.565272&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=NOO6jqVVNY0m29v3dcd3b5WQr3c
1455,13686,211330,пекарня «дон батон»,False,кафе,"город москва, город зеленоград, корпус 1106",7,город зеленоград,"https://www.google.com/maps/search/город москва, город зеленоград, корпус 1106",https://maps.google.com/maps/api/staticmap?center=55.9957969%2C37.1879559&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=4d4jVI3oaNmddfWXFo1lVu8QMHY
1456,13735,205034,еда бар нам,False,кафе,"город москва, ленинградский проспект, дом 69, строение 1",30,ленинградский проспект,"https://www.google.com/maps/search/город москва, ленинградский проспект, дом 69, строение 1",https://maps.google.com/maps/api/staticmap?center=55.8028583%2C37.5176966&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=PfCb6JGIKQah9sY3-meXj1IJSOU
1457,13736,205536,кальянная «огни баку лаунж»,False,кафе,"город москва, варшавское шоссе, дом 152, корпус 2",25,варшавское шоссе,"https://www.google.com/maps/search/город москва, варшавское шоссе, дом 152, корпус 2",https://maps.google.com/maps/api/staticmap?center=55.5905878%2C37.5980377&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=MTJPE1o_VaUDXOgYBTUQjdILqOQ
1458,13755,206196,кальянная,False,бар,"город москва, профсоюзная улица, дом 104",35,профсоюзная улица,"https://www.google.com/maps/search/город москва, профсоюзная улица, дом 104",https://maps.google.com/maps/api/staticmap?center=55.6416686%2C37.5235038&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=Gl8NcUqKeeYd8_2wbxTejyoiCo8
1459,13756,213217,be positive,False,кафе,"город москва, профсоюзная улица, дом 104",45,профсоюзная улица,"https://www.google.com/maps/search/город москва, профсоюзная улица, дом 104",https://maps.google.com/maps/api/staticmap?center=55.6416686%2C37.5235038&zoom=17&size=256x256&language=en&sensor=false&client=google-maps-frontend&signature=Gl8NcUqKeeYd8_2wbxTejyoiCo8
