,id,object_name,chain,object_type,address,number,street,Url
695,69478,крылышко-ножка,False,кафе,"город москва, проспект мира, дом 77, корпус 2",24,проспект мира,"https://www.google.com/maps/search/город москва, проспект мира, дом 77, корпус 2"
696,58901,бар «джонни грин паб»,False,бар,"город москва, проспект мира, дом 91, корпус 1",50,проспект мира,"https://www.google.com/maps/search/город москва, проспект мира, дом 91, корпус 1"
697,20284,бар «мир бильярда»,False,бар,"город москва, проспект мира, дом 91, корпус 3",70,проспект мира,"https://www.google.com/maps/search/город москва, проспект мира, дом 91, корпус 3"
698,20795,ресторан «макдоналдс»,True,фаст-фуд,"город москва, проспект мира, дом 97",143,проспект мира,"https://www.google.com/maps/search/город москва, проспект мира, дом 97"
699,21800,шоколадница,True,кафе,"город москва, проспект мира, дом 97",100,проспект мира,"https://www.google.com/maps/search/город москва, проспект мира, дом 97"
700,142956,ресторан «якитория»,True,ресторан,"город москва, проспект мира, дом 97",25,проспект мира,"https://www.google.com/maps/search/город москва, проспект мира, дом 97"
701,22892,шоколадница,True,кафе,"город москва, проспект мира, дом 112",150,проспект мира,"https://www.google.com/maps/search/город москва, проспект мира, дом 112"
702,153638,босс-кулинария,False,кулинария,"город москва, проспект мира, дом 114б",0,проспект мира,"https://www.google.com/maps/search/город москва, проспект мира, дом 114б"
703,147579,крафтмания,False,ресторан,"город москва, проспект мира, дом 116",130,проспект мира,"https://www.google.com/maps/search/город москва, проспект мира, дом 116"
704,80359,кафе «штолле»,True,кафе,"город москва, проспект мира, дом 118",22,проспект мира,"https://www.google.com/maps/search/город москва, проспект мира, дом 118"
705,128154,ресторан «pesto»,False,ресторан,"город москва, проспект мира, дом 118",98,проспект мира,"https://www.google.com/maps/search/город москва, проспект мира, дом 118"
706,81505,ресторан «джон джоли»,True,ресторан,"город москва, проспект мира, дом 118",150,проспект мира,"https://www.google.com/maps/search/город москва, проспект мира, дом 118"
707,26149,ресторан «тануки»,True,ресторан,"город москва, проспект мира, дом 120",125,проспект мира,"https://www.google.com/maps/search/город москва, проспект мира, дом 120"
708,20704,кафе «бирхаус»,False,кафе,"город москва, проспект мира, дом 124, корпус 4",74,проспект мира,"https://www.google.com/maps/search/город москва, проспект мира, дом 124, корпус 4"
709,143561,пекарня «папан»,False,кулинария,"город москва, проспект мира, дом 180",10,проспект мира,"https://www.google.com/maps/search/город москва, проспект мира, дом 180"
710,22893,кафе «золотая лестница»,False,кафе,"город москва, проспект мира, дом 186, корпус 1",41,проспект мира,"https://www.google.com/maps/search/город москва, проспект мира, дом 186, корпус 1"
938,154596,стардогs,True,фаст-фуд,"город москва, профсоюзная улица, дом 2/22",0,профсоюзная улица,"https://www.google.com/maps/search/город москва, профсоюзная улица, дом 2/22"
939,29061,столовая шк. 4,False,столовая,"город москва, профсоюзная улица, дом 9",200,профсоюзная улица,"https://www.google.com/maps/search/город москва, профсоюзная улица, дом 9"
940,153091,французская пекарня,False,кафетерий,"город москва, профсоюзная улица, дом 13/12",12,профсоюзная улица,"https://www.google.com/maps/search/город москва, профсоюзная улица, дом 13/12"
941,23842,прованс,False,кафе,"город москва, профсоюзная улица, дом 15",30,профсоюзная улица,"https://www.google.com/maps/search/город москва, профсоюзная улица, дом 15"
942,23853,шоколадница,True,кафе,"город москва, профсоюзная улица, дом 16/10",40,профсоюзная улица,"https://www.google.com/maps/search/город москва, профсоюзная улица, дом 16/10"
943,27263,корчма тарас бульба,True,ресторан,"город москва, профсоюзная улица, дом 16/10",60,профсоюзная улица,"https://www.google.com/maps/search/город москва, профсоюзная улица, дом 16/10"
944,23844,шоколадница,True,кафе,"город москва, профсоюзная улица, дом 19",48,профсоюзная улица,"https://www.google.com/maps/search/город москва, профсоюзная улица, дом 19"
