,id,object_name,chain,object_type,address,number,street
8957,150886,школа,False,столовая,"город москва, причальный проезд, дом 7, строение 1",60,причальный проезд
9010,161067,перелетный кабак,False,кафе,"город москва, мансуровский переулок, дом 10, строение 2",40,мансуровский переулок
9014,161609,кафе «волконский»,False,кафе,"город москва, переулок маяковского, дом 3",2,переулок маяковского
9053,160305,арт кафе «new place moscow»,False,кафе,"город москва, площадь журавлева, дом 2, строение 2",120,площадь журавлева
9133,161334,хач хач хачапури ловкач,False,фаст-фуд,"город москва, 1-я чоботовская аллея, дом 6-б",5,1-я чоботовская аллея
9243,162723,kfc,True,фаст-фуд,"город москва, каскадная улица, домовладение 21, строение 1",20,каскадная улица
9294,166935,столешников,False,кафе,"город москва, дмитровский переулок, дом 3, строение 4",46,дмитровский переулок
9335,167318,буфет,False,буфет,"город москва, прохладная улица, дом 28",0,прохладная улица
9366,167179,закусочная «донеретто»,False,закусочная,"город москва, михневский проезд, дом 4, корпус 1",0,михневский проезд
9410,167786,tasty joys,False,кафе,"город москва, пестовский переулок, дом 3, строение 1",22,пестовский переулок
9428,168147,ларам,False,ресторан,"город москва, улица дубки, дом 6",35,улица дубки
9440,168345,five,False,кафе,"город москва, якиманский переулок, дом 6, строение 1",46,якиманский переулок
9674,168768,кафе r.f.lounge,False,кафе,"город москва, красногвардейский бульвар, дом 3, строение 1",36,красногвардейский бульвар
9686,168979,скалка,False,фаст-фуд,"город москва, большой николопесковский переулок, дом 5",16,большой николопесковский переулок
9748,169745,буфет,False,буфет,"город москва, пяловская улица, дом 7, строение 3",12,пяловская улица
9790,169978,миа пицца,False,кафе,"город москва, улица полины осипенко, дом 10, корпус 1",10,улица полины осипенко
9815,170232,little garden kitchen&bar,False,ресторан,"город москва, большой кисельный переулок, дом 17/15, строение 1",70,большой кисельный переулок
9843,170371,ип«осипова е.е»,False,фаст-фуд,"город москва, зюзинская улица, дом 3",0,зюзинская улица
9915,170767,"ели, пили",False,столовая,"город москва, малый толмачевский переулок, дом 8/11, строение 3",40,малый толмачевский переулок
9927,170938,бдд паб,False,бар,"город москва, улица знаменские садки, дом 1а",50,улица знаменские садки
9966,171174,шаурма,False,закусочная,"город москва, 30-й километр московской кольцевой автодороги, владение 6",12,30-й километр московской кольцевой автодороги
9967,171176,шаурма 31,False,закусочная,"город москва, 31-й километр московской кольцевой автодороги, владение 8, строение 1",0,31-й километр московской кольцевой автодороги
9992,171471,телебистро,False,кафе,"город москва, никитский переулок, дом 7, строение 2",32,никитский переулок
9997,171540,кафе,False,кафе,"город москва, 78-й километр московской кольцевой автодороги, дом 14, корпус 1",15,78-й километр московской кольцевой автодороги
10009,171644,буфет театра «et cetera»,False,буфет,"город москва, фролов переулок, дом 2",20,фролов переулок
10054,172152,столовая,False,столовая,"город москва, 5-й монетчиковский переулок, дом 7",176,5-й монетчиковский переулок
10142,172679,мята,False,кафе,"город москва, ялтинская улица, дом 2",26,ялтинская улица
10170,23812,ресторан «сахара»,False,ресторан,"город москва, 34-й километр московской кольцевой автодороги, владение 6",50,34-й километр московской кольцевой автодороги
10226,185632,котлет нет,False,закусочная,"город москва, боровая улица, дом 10, корпус 2",10,боровая улица
10241,188085,gournest гнездо гурмана,False,ресторан,"город москва, бродников переулок, дом 10, корпус 2",40,бродников переулок
10259,179098,выпечка,False,кулинария,"город москва, 4-я гражданская улица, дом 43, корпус 2",0,4-я гражданская улица
10290,179285,шаурма,False,фаст-фуд,"город москва, жигулевская улица, дом 5, корпус 3",0,жигулевская улица
10306,183836,детское кафе «ежеминутка»,False,кафе,"город москва, улица анатолия живова, дом 10",40,улица анатолия живова
10321,189611,"выпечка,шаурма",False,фаст-фуд,"город москва, улица академика комарова, дом 5а",0,улица академика комарова
10370,184359,донер кебаб,False,фаст-фуд,"город москва, улица медиков, дом 16",0,улица медиков
10389,179443,бар крафт тайм,False,бар,"город москва, молодежная улица, дом 4",16,молодежная улица
10425,190027,раиса захарна,False,кафе,"город москва, улица можайский вал, дом 6",26,улица можайский вал
10467,174488,предприятие быстрого обслуживания «шаурма»,False,фаст-фуд,"город москва, сумская улица, дом 2/12",0,сумская улица
10481,174448,time club убежище,False,кафе,"город москва, архангельский переулок, дом 7, строение 1",70,архангельский переулок
10568,184803,пиццбургеr №1,False,кафе,"город москва, улица пржевальского, дом 2",12,улица пржевальского
10570,189486,шантимель,True,кафе,"город москва, улица раевского, дом 3",14,улица раевского
